id,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,key,duration_ms,peak,chart_time
6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,0.0847,0,0.149,-3.37,0.0484,0.43,130.049,4,7,243837,16,44
1wZqJM5FGDEl3FjHDxDyQd,0.717,0.347,0.0511,0.00000243,0.087,-10.265,0.0636,0.0589,84.987,4,11,235477,81,25
34oWbFBfGEElvgO0a5c9V4,0.943,0.595,0.0673,0,0.0839,-8.372,0.191,0.815,117.532,4,5,165291,90,29
0B8B8cVRFIG1yznoQe7c9s,0.627,0.717,0.017,0,0.261,-5.751,0.0376,0.561,105.05,4,8,247427,70,8
3a1lNhkSLSkpJE4MSHpDu9,0.627,0.812,0.198,0,0.212,-4.215,0.0358,0.504,123.071,4,6,220293,5,44
550rQQCGkrTzvp4SfpOPzx,0.321,0.377,0.454,0,0.338,-7.385,0.0361,0.367,119.483,4,10,268960,101,1
0Fv5N0cHBsl4bzCbollCAS,0.789,0.53,0.0541,0,0.164,-6.2,0.293,0.367,75.515,4,2,142907,10,33
2FRnf9qhLbvw8fu4IBXx78,0.735,0.478,0.189,0.00000248,0.355,-12.472,0.0293,0.947,107.682,4,2,262960,103,1
3MWlVSkoLS1e66nlZ2tuWJ,0.652,0.407,0.471,0,0.294,-11.028,0.0354,0.169,111.65,3,10,127880,104,3
2z3joGXrdGL2iEjIKQTiN1,0.857,0.378,0.789,0.000171,0.119,-8.371,0.0928,0.626,119.976,3,7,194347,105,3
0H8XeaJunhvpBdBFIYi6Sh,0.613,0.702,0.0995,0,0.116,-6.498,0.0458,0.372,133.932,4,7,234213,106,17
3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,0.0462,0.0000229,0.0602,-5.677,0.141,0.648,169.977,4,4,202333,92,16
4vb4mFvYsr2h6enhjJsq9Y,0.596,0.838,0.0189,0.0000154,0.108,-6.52,0.0704,0.472,94.982,4,5,240427,53,12
1vvnYpYEMVB4aq9I6tHIEB,0.704,0.481,0.378,0.0000709,0.0874,-10.493,0.363,0.494,78.628,4,11,530253,109,4
0lLdorYw7lVrJydTINhWdI,0.35,0.232,0.907,0.00000921,0.292,-11.042,0.0331,0.381,93.269,3,4,206347,110,1
14WWzenpaEgQZlqPq2nk4v,0.725,0.534,0.0752,0,0.0919,-6.238,0.0946,0.558,91.974,4,11,219320,57,12
6i759FCuKx713ZnYjtpQGU,0.667,0.424,0.291,0,0.205,-8.313,0.2,0.594,76.76,4,1,206027,112,7
3DX4Y0egvc0slLcLl31h2p,0.668,0.778,0.0169,0.00000735,0.474,-5.767,0.0523,0.73,109.96,4,0,265600,113,6
5wQRNkb7OhzJoT1P0OZ4Rw,0.66,0.378,0.402,0,0.0838,-9.728,0.27,0.516,90.056,4,0,221333,101,5
36xxq7VDZZsGwARsn6Clo7,0.717,0.618,0.214,0,0.108,-5.419,0.315,0.719,79.862,4,11,276347,115,5
2HzfRSfCogBSsgW2CckVA2,0.422,0.852,0.0845,0,0.0687,-3.546,0.208,0.666,82.914,4,6,248387,116,1
0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,0.013,0,0.0944,-4.961,0.0406,0.86,134.066,4,1,206693,3,44
7zTx8ePYAmPFQuxP3xlXZn,0.57,0.763,0.0857,0.00000249,0.0932,-4.137,0.0573,0.43,150.088,4,1,239853,72,9
40UroIGvsMPLPBYwH8rMNA,0.779,0.671,0.153,0.0000112,0.115,-5.829,0.0814,0.718,104.953,4,9,177095,105,7
5J5PXmMdQ2nh1lZOal8KmK,0.592,0.701,0.0451,0,0.327,-4.014,0.0858,0.282,129.501,4,10,280615,97,12
4tCtwWceOPWzenK2HAIJSb,0.803,0.585,0.103,0.00000394,0.0644,-5.861,0.0432,0.593,105.017,4,8,214480,52,16
77IAeEz8LEchPN8UNjaTJ2,0.713,0.496,0.218,0.000237,0.0761,-10.045,0.311,0.6,162.039,4,7,316920,122,2
40YcuQysJ0KlGQTeGUosTC,0.757,0.672,0.0186,0,0.158,-6.524,0.0955,0.382,111.996,4,0,251467,103,12
36YCdzT57us0LhDmCYtrNE,0.735,0.886,0.014,0,0.0788,-5.572,0.216,0.758,113.002,4,9,232880,124,5
4Q4jmPHwu0wrJvqrld0FQ6,0.486,0.713,0.0853,0,0.0839,-3.949,0.0524,0.297,121.028,4,2,226720,95,10
6JV2JOEocMgcZxYSZelKcc,0.667,0.83,0.0123,0,0.191,-5.715,0.0749,0.701,113.03,4,0,236002,56,28
6JjEVlMkfHWMeYavkEYzNO,0.798,0.568,0.0213,0,0.0586,-9.072,0.135,0.45,148.88,3,5,193911,77,24
